"","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling"
"8149",2020-03-07,6,6,"b.1",1,1
"8150",2020-03-08,11,11,"b.1",1,1
"8151",2020-03-09,8,8,"b.1",1,1
"8152",2020-03-10,1,1,"b.1",1,1
"8153",2020-03-11,1,1,"b.1",1,1
"8154",2020-03-12,0,0,"b.1",0,1
"327",2020-03-13,3,1,"a.1",0.333333333333333,0.194444444444444
"8155",2020-03-13,3,2,"b.1",0.666666666666667,0.805555555555556
"328",2020-03-14,0,0,"a.1",0,0.104477611940299
"8156",2020-03-14,0,0,"b.1",0,0.686567164179104
"10334",2020-03-14,1,1,"b.1.126",1,0.208955223880597
"329",2020-03-15,0,0,"a.1",0,0.0939597315436242
"8157",2020-03-15,0,0,"b.1",0,0.483221476510067
"10335",2020-03-15,0,0,"b.1.126",0,0.140939597315436
"14284",2020-03-15,1,1,"b.59",1,0.281879194630873
"330",2020-03-16,8,2,"a.1",0.25,0.142212189616253
"8158",2020-03-16,8,2,"b.1",0.25,0.162528216704289
"8813",2020-03-16,8,1,"b.1.1",0.125,0.18961625282167
"10336",2020-03-16,8,1,"b.1.126",0.125,0.126410835214447
"12088",2020-03-16,8,1,"b.1.382",0.125,0.18961625282167
"14253",2020-03-16,8,1,"b.4.4",0.125,0.18961625282167
"331",2020-03-17,0,0,"a.1",0,0.130434782608696
"8159",2020-03-17,10,9,"b.1",0.9,0.434782608695652
"8814",2020-03-17,10,1,"b.1.1",0.1,0.217391304347826
"10337",2020-03-17,0,0,"b.1.126",0,0.108695652173913
"12089",2020-03-17,0,0,"b.1.382",0,0.108695652173913
"332",2020-03-18,0,0,"a.1",0,0.0964187327823692
"8160",2020-03-18,4,3,"b.1",0.75,0.440771349862259
"8815",2020-03-18,0,0,"b.1.1",0,0.128558310376492
"10338",2020-03-18,0,0,"b.1.126",0,0.0771349862258953
"12090",2020-03-18,0,0,"b.1.382",0,0.0642791551882461
"13106",2020-03-18,4,1,"b.1.555",0.25,0.192837465564738
"333",2020-03-19,13,1,"a.1",0.0769230769230769,0.0753532182103611
"8161",2020-03-19,13,8,"b.1",0.615384615384615,0.452119309262166
"8816",2020-03-19,0,0,"b.1.1",0,0.0659340659340659
"9774",2020-03-19,13,1,"b.1.1.378",0.0769230769230769,0.131868131868132
"10339",2020-03-19,0,0,"b.1.126",0,0.043956043956044
"10562",2020-03-19,13,1,"b.1.153",0.0769230769230769,0.131868131868132
"12091",2020-03-19,13,2,"b.1.382",0.153846153846154,0.0989010989010989
"334",2020-03-20,10,3,"a.1",0.3,0.0967741935483871
"8162",2020-03-20,10,3,"b.1",0.3,0.403225806451613
"8817",2020-03-20,0,0,"b.1.1",0,0.0451612903225806
"10340",2020-03-20,10,1,"b.1.126",0.1,0.0483870967741935
"11432",2020-03-20,10,1,"b.1.308",0.1,0.112903225806452
"12092",2020-03-20,0,0,"b.1.382",0,0.067741935483871
"13540",2020-03-20,10,2,"b.1.577",0.2,0.225806451612903
"335",2020-03-21,5,1,"a.1",0.2,0.116022099447514
"407",2020-03-21,5,1,"a.3",0.2,0.116022099447514
"8163",2020-03-21,5,3,"b.1",0.6,0.464088397790055
"8818",2020-03-21,0,0,"b.1.1",0,0.0386740331491713
"10341",2020-03-21,0,0,"b.1.126",0,0.0331491712707182
"11433",2020-03-21,0,0,"b.1.308",0,0.0580110497237569
"12093",2020-03-21,0,0,"b.1.382",0,0.0580110497237569
"13541",2020-03-21,0,0,"b.1.577",0,0.116022099447514
"336",2020-03-22,0,0,"a.1",0,0.121739130434783
"408",2020-03-22,0,0,"a.3",0,0.0608695652173913
"8164",2020-03-22,5,4,"b.1",0.8,0.556521739130435
"8819",2020-03-22,0,0,"b.1.1",0,0.0347826086956522
"10342",2020-03-22,0,0,"b.1.126",0,0.0347826086956522
"11434",2020-03-22,0,0,"b.1.308",0,0.0405797101449275
"12094",2020-03-22,5,1,"b.1.382",0.2,0.0695652173913043
"13542",2020-03-22,0,0,"b.1.577",0,0.0811594202898551
"321",2020-03-23,15,1,"a",0.0666666666666667,0.100961538461538
"337",2020-03-23,15,1,"a.1",0.0666666666666667,0.0865384615384615
"409",2020-03-23,0,0,"a.3",0,0.0336538461538462
"8165",2020-03-23,15,11,"b.1",0.733333333333333,0.591346153846154
"8820",2020-03-23,0,0,"b.1.1",0,0.0144230769230769
"10343",2020-03-23,0,0,"b.1.126",0,0.0144230769230769
"11435",2020-03-23,0,0,"b.1.308",0,0.0252403846153846
"12095",2020-03-23,15,1,"b.1.382",0.0666666666666667,0.0576923076923077
"13543",2020-03-23,15,1,"b.1.577",0.0666666666666667,0.0757211538461538
"322",2020-03-24,0,0,"a",0,0.045841519318926
"338",2020-03-24,0,0,"a.1",0,0.0785854616895874
"410",2020-03-24,15,2,"a.3",0.133333333333333,0.068762278978389
"8166",2020-03-24,15,9,"b.1",0.6,0.537000654878847
"8821",2020-03-24,0,0,"b.1.1",0,0
"10344",2020-03-24,0,0,"b.1.126",0,0.0130975769482646
"10563",2020-03-24,15,1,"b.1.162",0.0666666666666667,0.091683038637852
"11436",2020-03-24,0,0,"b.1.308",0,0.0183366077275704
"12096",2020-03-24,15,3,"b.1.382",0.2,0.091683038637852
"13544",2020-03-24,0,0,"b.1.577",0,0.0550098231827112
"323",2020-03-25,0,0,"a",0,0.0233644859813084
"339",2020-03-25,21,2,"a.1",0.0952380952380952,0.0801068090787717
"411",2020-03-25,0,0,"a.3",0,0.0420560747663551
"8167",2020-03-25,21,14,"b.1",0.666666666666667,0.520694259012016
"8822",2020-03-25,0,0,"b.1.1",0,0
"10345",2020-03-25,21,1,"b.1.126",0.0476190476190476,0.0200267022696929
"10564",2020-03-25,0,0,"b.1.162",0,0.0350467289719626
"11437",2020-03-25,0,0,"b.1.308",0,0.0116822429906542
"11850",2020-03-25,21,1,"b.1.369",0.0476190476190476,0.0700934579439252
"12097",2020-03-25,21,1,"b.1.382",0.0476190476190476,0.0801068090787717
"13545",2020-03-25,21,1,"b.1.577",0.0476190476190476,0.0467289719626168
"14254",2020-03-25,21,1,"b.40",0.0476190476190476,0.0700934579439252
"324",2020-03-26,33,2,"a",0.0606060606060606,0.0479087452471483
"340",2020-03-26,33,4,"a.1",0.121212121212121,0.100380228136882
"412",2020-03-26,0,0,"a.3",0,0.0319391634980989
"7507",2020-03-26,33,1,"b",0.0303030303030303,0.0638783269961977
"8168",2020-03-26,33,19,"b.1",0.575757575757576,0.57490494296578
"8823",2020-03-26,33,1,"b.1.1",0.0303030303030303,0.0091254752851711
"10565",2020-03-26,0,0,"b.1.162",0,0.0212927756653992
"11438",2020-03-26,0,0,"b.1.308",0,0.0091254752851711
"11851",2020-03-26,0,0,"b.1.369",0,0.0319391634980989
"12098",2020-03-26,33,6,"b.1.382",0.181818181818182,0.109505703422053
"325",2020-03-27,32,1,"a",0.03125,0.041733946093653
"341",2020-03-27,32,1,"a.1",0.03125,0.0670724133647994
"413",2020-03-27,32,1,"a.3",0.03125,0.0298099614954664
"7508",2020-03-27,0,0,"b",0,0.0260837163085331
"8169",2020-03-27,32,18,"b.1",0.5625,0.581294249161595
"8824",2020-03-27,32,1,"b.1.1",0.03125,0.0149049807477332
"10566",2020-03-27,0,0,"b.1.162",0,0.0130418581542666
"11439",2020-03-27,0,0,"b.1.308",0,0
"11657",2020-03-27,32,1,"b.1.319",0.03125,0.0521674326170662
"11852",2020-03-27,0,0,"b.1.369",0,0.0173891442056887
"12099",2020-03-27,32,9,"b.1.382",0.28125,0.156502297851199
"326",2020-03-28,16,1,"a",0.0625,0.0440861569467187
"342",2020-03-28,16,2,"a.1",0.125,0.0755762690515178
"7509",2020-03-28,0,0,"b",0,0.0176344627786875
"8170",2020-03-28,16,9,"b.1",0.5625,0.63484066003275
"8825",2020-03-28,0,0,"b.1.1",0,0.0151152538103036
"10567",2020-03-28,0,0,"b.1.162",0,0.0105806776672125
"11440",2020-03-28,0,0,"b.1.308",0,0
"11853",2020-03-28,0,0,"b.1.369",0,0.0132258470840156
"12100",2020-03-28,16,4,"b.1.382",0.25,0.188940672628795
"343",2020-03-29,0,0,"a.1",0,0.0743586565869377
"7510",2020-03-29,0,0,"b",0,0.0130127649027141
"8171",2020-03-29,14,9,"b.1",0.642857142857143,0.661792043623745
"8826",2020-03-29,0,0,"b.1.1",0,0.0148717313173875
"10568",2020-03-29,14,1,"b.1.162",0.0714285714285714,0.0173503532036188
"11441",2020-03-29,0,0,"b.1.308",0,0
"11854",2020-03-29,0,0,"b.1.369",0,0.0104102119221713
"12101",2020-03-29,14,4,"b.1.382",0.285714285714286,0.208204238443425
"344",2020-03-30,20,2,"a.1",0.1,0.0792888034598751
"7511",2020-03-30,0,0,"b",0,0.0100913022585296
"8172",2020-03-30,20,14,"b.1",0.7,0.663142719846228
"8827",2020-03-30,0,0,"b.1.1",0,0.0144161460836136
"11442",2020-03-30,0,0,"b.1.308",0,0
"11855",2020-03-30,20,1,"b.1.369",0.05,0.0168188370975493
"12102",2020-03-30,20,3,"b.1.382",0.15,0.216242191254205
"7512",2020-03-31,0,0,"b",0,0.0100430416068867
"8173",2020-03-31,0,0,"b.1",0,0.714490674318508
"8828",2020-03-31,0,0,"b.1.1",0,0.0172166427546628
"11443",2020-03-31,0,0,"b.1.308",0,0
"11856",2020-03-31,0,0,"b.1.369",0,0.0172166427546628
"12103",2020-03-31,1,1,"b.1.382",1,0.24103299856528
"7513",2020-04-01,0,0,"b",0,0.01
"8174",2020-04-01,0,0,"b.1",0,0.69
"8829",2020-04-01,0,0,"b.1.1",0,0.02
"11444",2020-04-01,0,0,"b.1.308",0,0
"11857",2020-04-01,0,0,"b.1.369",0,0.01
"12104",2020-04-01,0,0,"b.1.382",0,0.27
"7514",2020-04-02,0,0,"b",0,0
"8175",2020-04-02,1,1,"b.1",1,0.689189189189189
"8830",2020-04-02,0,0,"b.1.1",0,0.0135135135135135
"11445",2020-04-02,0,0,"b.1.308",0,0
"11858",2020-04-02,0,0,"b.1.369",0,0.0135135135135135
"12105",2020-04-02,0,0,"b.1.382",0,0.283783783783784
"7515",2020-04-03,0,0,"b",0,0
"8176",2020-04-03,0,0,"b.1",0,0.6875
"8831",2020-04-03,0,0,"b.1.1",0,0
"11446",2020-04-03,2,2,"b.1.308",1,0.0416666666666667
"11859",2020-04-03,0,0,"b.1.369",0,0.0208333333333333
"12106",2020-04-03,0,0,"b.1.382",0,0.25
"7516",2020-04-04,0,0,"b",0,0
"8177",2020-04-04,0,0,"b.1",0,0.685714285714286
"8832",2020-04-04,0,0,"b.1.1",0,0
"11447",2020-04-04,0,0,"b.1.308",0,0.0571428571428571
"11860",2020-04-04,0,0,"b.1.369",0,0.0285714285714286
"12107",2020-04-04,0,0,"b.1.382",0,0.228571428571429
"7517",2020-04-05,0,0,"b",0,0
"8178",2020-04-05,0,0,"b.1",0,0.681818181818182
"8833",2020-04-05,0,0,"b.1.1",0,0
"11448",2020-04-05,0,0,"b.1.308",0,0.0909090909090909
"11861",2020-04-05,0,0,"b.1.369",0,0.0454545454545455
"12108",2020-04-05,0,0,"b.1.382",0,0.181818181818182
"7518",2020-04-06,0,0,"b",0,0
"8179",2020-04-06,0,0,"b.1",0,0.142857142857143
"8834",2020-04-06,0,0,"b.1.1",0,0
"11449",2020-04-06,3,3,"b.1.308",1,0.714285714285714
"11862",2020-04-06,0,0,"b.1.369",0,0
"12109",2020-04-06,0,0,"b.1.382",0,0.142857142857143
"7519",2020-04-07,0,0,"b",0,0
"8180",2020-04-07,1,1,"b.1",1,0.285714285714286
"8835",2020-04-07,0,0,"b.1.1",0,0
"11450",2020-04-07,0,0,"b.1.308",0,0.714285714285714
"11863",2020-04-07,0,0,"b.1.369",0,0
"12110",2020-04-07,0,0,"b.1.382",0,0
"7520",2020-04-08,0,0,"b",0,0
"8181",2020-04-08,2,1,"b.1",0.5,0.333333333333333
"8836",2020-04-08,0,0,"b.1.1",0,0
"11451",2020-04-08,0,0,"b.1.308",0,0.555555555555556
"11864",2020-04-08,0,0,"b.1.369",0,0
"12111",2020-04-08,2,1,"b.1.382",0.5,0.111111111111111
"7521",2020-04-09,0,0,"b",0,0
"8182",2020-04-09,3,3,"b.1",1,0.454545454545455
"8837",2020-04-09,0,0,"b.1.1",0,0
"11452",2020-04-09,0,0,"b.1.308",0,0.454545454545455
"11865",2020-04-09,0,0,"b.1.369",0,0
"12112",2020-04-09,0,0,"b.1.382",0,0.0909090909090909
"7522",2020-04-10,0,0,"b",0,0
"8183",2020-04-10,0,0,"b.1",0,0.5
"8838",2020-04-10,0,0,"b.1.1",0,0
"11453",2020-04-10,0,0,"b.1.308",0,0.3
"11866",2020-04-10,1,1,"b.1.369",1,0.1
"12113",2020-04-10,0,0,"b.1.382",0,0.1
"7523",2020-04-11,0,0,"b",0,0
"8184",2020-04-11,4,4,"b.1",1,0.642857142857143
"8839",2020-04-11,0,0,"b.1.1",0,0
"11454",2020-04-11,0,0,"b.1.308",0,0.214285714285714
"11867",2020-04-11,0,0,"b.1.369",0,0.0714285714285714
"12114",2020-04-11,0,0,"b.1.382",0,0.0714285714285714
"7524",2020-04-12,0,0,"b",0,0
"8185",2020-04-12,2,2,"b.1",1,0.6875
"8840",2020-04-12,0,0,"b.1.1",0,0
"11455",2020-04-12,0,0,"b.1.308",0,0.1875
"11868",2020-04-12,0,0,"b.1.369",0,0.0625
"12115",2020-04-12,0,0,"b.1.382",0,0.0625
"7525",2020-04-13,0,0,"b",0,0
"8186",2020-04-13,0,0,"b.1",0,0.846153846153846
"8841",2020-04-13,0,0,"b.1.1",0,0
"11456",2020-04-13,0,0,"b.1.308",0,0
"11869",2020-04-13,0,0,"b.1.369",0,0.0769230769230769
"12116",2020-04-13,0,0,"b.1.382",0,0.0769230769230769
"7526",2020-04-14,0,0,"b",0,0
"8187",2020-04-14,4,3,"b.1",0.75,0.8125
"8842",2020-04-14,0,0,"b.1.1",0,0
"11457",2020-04-14,4,1,"b.1.308",0.25,0.0625
"11870",2020-04-14,0,0,"b.1.369",0,0.0625
"12117",2020-04-14,0,0,"b.1.382",0,0.0625
"7527",2020-04-15,0,0,"b",0,0
"8188",2020-04-15,1,1,"b.1",1,0.866666666666667
"8843",2020-04-15,0,0,"b.1.1",0,0
"11458",2020-04-15,0,0,"b.1.308",0,0.0666666666666667
"11871",2020-04-15,0,0,"b.1.369",0,0.0666666666666667
"12118",2020-04-15,0,0,"b.1.382",0,0
"7528",2020-04-16,0,0,"b",0,0
"8189",2020-04-16,5,2,"b.1",0.4,0.705882352941177
"8844",2020-04-16,0,0,"b.1.1",0,0
"11459",2020-04-16,5,2,"b.1.308",0.4,0.176470588235294
"11872",2020-04-16,0,0,"b.1.369",0,0.0588235294117647
"12119",2020-04-16,5,1,"b.1.382",0.2,0.0588235294117647
"7529",2020-04-17,0,0,"b",0,0
"8190",2020-04-17,4,4,"b.1",1,0.8
"8845",2020-04-17,0,0,"b.1.1",0,0
"11460",2020-04-17,0,0,"b.1.308",0,0.15
"11873",2020-04-17,0,0,"b.1.369",0,0
"12120",2020-04-17,0,0,"b.1.382",0,0.05
"7530",2020-04-18,0,0,"b",0,0
"8191",2020-04-18,4,3,"b.1",0.75,0.75
"8846",2020-04-18,0,0,"b.1.1",0,0
"11461",2020-04-18,0,0,"b.1.308",0,0.15
"11874",2020-04-18,0,0,"b.1.369",0,0
"12121",2020-04-18,4,1,"b.1.382",0.25,0.1
"7531",2020-04-19,0,0,"b",0,0
"8192",2020-04-19,2,2,"b.1",1,0.75
"8847",2020-04-19,0,0,"b.1.1",0,0
"11462",2020-04-19,0,0,"b.1.308",0,0.15
"11875",2020-04-19,0,0,"b.1.369",0,0
"12122",2020-04-19,0,0,"b.1.382",0,0.1
"7532",2020-04-20,0,0,"b",0,0
"8193",2020-04-20,6,6,"b.1",1,0.807692307692308
"8848",2020-04-20,0,0,"b.1.1",0,0
"11463",2020-04-20,0,0,"b.1.308",0,0.115384615384615
"11876",2020-04-20,0,0,"b.1.369",0,0
"12123",2020-04-20,0,0,"b.1.382",0,0.0769230769230769
"7533",2020-04-21,0,0,"b",0,0
"8194",2020-04-21,8,6,"b.1",0.75,0.8
"8849",2020-04-21,0,0,"b.1.1",0,0
"11464",2020-04-21,8,2,"b.1.308",0.25,0.133333333333333
"11877",2020-04-21,0,0,"b.1.369",0,0
"12124",2020-04-21,0,0,"b.1.382",0,0.0666666666666667
"7534",2020-04-22,0,0,"b",0,0
"8195",2020-04-22,3,1,"b.1",0.333333333333333,0.75
"8850",2020-04-22,0,0,"b.1.1",0,0
"11465",2020-04-22,3,2,"b.1.308",0.666666666666667,0.1875
"11878",2020-04-22,0,0,"b.1.369",0,0
"12125",2020-04-22,0,0,"b.1.382",0,0.0625
"7535",2020-04-23,0,0,"b",0,0
"8196",2020-04-23,3,2,"b.1",0.666666666666667,0.8
"8851",2020-04-23,0,0,"b.1.1",0,0
"11466",2020-04-23,3,1,"b.1.308",0.333333333333333,0.166666666666667
"11879",2020-04-23,0,0,"b.1.369",0,0
"12126",2020-04-23,0,0,"b.1.382",0,0.0333333333333333
"7536",2020-04-24,0,0,"b",0,0
"8197",2020-04-24,3,2,"b.1",0.666666666666667,0.758620689655172
"8852",2020-04-24,0,0,"b.1.1",0,0
"11467",2020-04-24,0,0,"b.1.308",0,0.172413793103448
"11880",2020-04-24,0,0,"b.1.369",0,0
"12127",2020-04-24,3,1,"b.1.382",0.333333333333333,0.0689655172413793
"7537",2020-04-25,0,0,"b",0,0
"8198",2020-04-25,2,1,"b.1",0.5,0.740740740740741
"8853",2020-04-25,0,0,"b.1.1",0,0
"11468",2020-04-25,0,0,"b.1.308",0,0.185185185185185
"11881",2020-04-25,0,0,"b.1.369",0,0
"12128",2020-04-25,2,1,"b.1.382",0.5,0.0740740740740741
"7538",2020-04-26,0,0,"b",0,0
"8199",2020-04-26,3,1,"b.1",0.333333333333333,0.678571428571429
"8854",2020-04-26,0,0,"b.1.1",0,0
"11469",2020-04-26,3,1,"b.1.308",0.333333333333333,0.214285714285714
"11882",2020-04-26,3,1,"b.1.369",0.333333333333333,0.0357142857142857
"12129",2020-04-26,0,0,"b.1.382",0,0.0714285714285714
"7539",2020-04-27,0,0,"b",0,0
"8200",2020-04-27,2,1,"b.1",0.5,0.583333333333333
"8855",2020-04-27,0,0,"b.1.1",0,0
"11470",2020-04-27,2,1,"b.1.308",0.5,0.291666666666667
"11883",2020-04-27,0,0,"b.1.369",0,0.0416666666666667
"12130",2020-04-27,0,0,"b.1.382",0,0.0833333333333333
"7540",2020-04-28,0,0,"b",0,0
"8201",2020-04-28,2,2,"b.1",1,0.555555555555556
"8856",2020-04-28,0,0,"b.1.1",0,0
"11471",2020-04-28,0,0,"b.1.308",0,0.277777777777778
"11884",2020-04-28,0,0,"b.1.369",0,0.0555555555555556
"12131",2020-04-28,0,0,"b.1.382",0,0.111111111111111
"7541",2020-04-29,0,0,"b",0,0
"8202",2020-04-29,1,1,"b.1",1,0.625
"8857",2020-04-29,0,0,"b.1.1",0,0
"11472",2020-04-29,0,0,"b.1.308",0,0.1875
"11885",2020-04-29,0,0,"b.1.369",0,0.0625
"12132",2020-04-29,0,0,"b.1.382",0,0.125
"7542",2020-04-30,0,0,"b",0,0
"8203",2020-04-30,0,0,"b.1",0,0.615384615384616
"8858",2020-04-30,0,0,"b.1.1",0,0
"11473",2020-04-30,0,0,"b.1.308",0,0.153846153846154
"11886",2020-04-30,0,0,"b.1.369",0,0.0769230769230769
"12133",2020-04-30,0,0,"b.1.382",0,0.153846153846154
"7543",2020-05-01,0,0,"b",0,0
"8204",2020-05-01,2,2,"b.1",1,0.666666666666667
"8859",2020-05-01,0,0,"b.1.1",0,0
"11474",2020-05-01,0,0,"b.1.308",0,0.166666666666667
"11887",2020-05-01,0,0,"b.1.369",0,0.0833333333333333
"12134",2020-05-01,0,0,"b.1.382",0,0.0833333333333333
"7544",2020-05-02,0,0,"b",0,0
"8205",2020-05-02,1,1,"b.1",1,0.727272727272727
"8860",2020-05-02,0,0,"b.1.1",0,0
"11475",2020-05-02,0,0,"b.1.308",0,0.181818181818182
"11888",2020-05-02,0,0,"b.1.369",0,0.0909090909090909
"12135",2020-05-02,0,0,"b.1.382",0,0
"7545",2020-05-03,0,0,"b",0,0
"8206",2020-05-03,0,0,"b.1",0,0.875
"8861",2020-05-03,0,0,"b.1.1",0,0
"11476",2020-05-03,0,0,"b.1.308",0,0.125
"11889",2020-05-03,0,0,"b.1.369",0,0
"12136",2020-05-03,0,0,"b.1.382",0,0
"7546",2020-05-04,0,0,"b",0,0
"8207",2020-05-04,2,2,"b.1",1,1
"8862",2020-05-04,0,0,"b.1.1",0,0
"11477",2020-05-04,0,0,"b.1.308",0,0
"11890",2020-05-04,0,0,"b.1.369",0,0
"12137",2020-05-04,0,0,"b.1.382",0,0
"7547",2020-05-05,0,0,"b",0,0
"8208",2020-05-05,1,1,"b.1",1,1
"8863",2020-05-05,0,0,"b.1.1",0,0
"11478",2020-05-05,0,0,"b.1.308",0,0
"11891",2020-05-05,0,0,"b.1.369",0,0
"12138",2020-05-05,0,0,"b.1.382",0,0
"7548",2020-05-06,0,0,"b",0,0
"8209",2020-05-06,3,1,"b.1",0.333333333333333,0.777777777777778
"8864",2020-05-06,0,0,"b.1.1",0,0
"11479",2020-05-06,0,0,"b.1.308",0,0
"11892",2020-05-06,0,0,"b.1.369",0,0
"12139",2020-05-06,3,2,"b.1.382",0.666666666666667,0.222222222222222
"7549",2020-05-07,0,0,"b",0,0
"8210",2020-05-07,0,0,"b.1",0,0.777777777777778
"8865",2020-05-07,0,0,"b.1.1",0,0
"11480",2020-05-07,0,0,"b.1.308",0,0
"11893",2020-05-07,0,0,"b.1.369",0,0
"12140",2020-05-07,0,0,"b.1.382",0,0.222222222222222
"7550",2020-05-08,0,0,"b",0,0
"8211",2020-05-08,0,0,"b.1",0,0.625
"8866",2020-05-08,0,0,"b.1.1",0,0
"11481",2020-05-08,1,1,"b.1.308",1,0.125
"11894",2020-05-08,0,0,"b.1.369",0,0
"12141",2020-05-08,0,0,"b.1.382",0,0.25
"7551",2020-05-09,0,0,"b",0,0
"8212",2020-05-09,0,0,"b.1",0,0.571428571428572
"8867",2020-05-09,0,0,"b.1.1",0,0
"11482",2020-05-09,0,0,"b.1.308",0,0.142857142857143
"11895",2020-05-09,0,0,"b.1.369",0,0
"12142",2020-05-09,0,0,"b.1.382",0,0.285714285714286
"7552",2020-05-10,0,0,"b",0,0
"8213",2020-05-10,0,0,"b.1",0,0.571428571428572
"8868",2020-05-10,0,0,"b.1.1",0,0
"11483",2020-05-10,0,0,"b.1.308",0,0.142857142857143
"11896",2020-05-10,0,0,"b.1.369",0,0
"12143",2020-05-10,0,0,"b.1.382",0,0.285714285714286
"7553",2020-05-11,0,0,"b",0,0
"8214",2020-05-11,1,1,"b.1",1,0.5
"8869",2020-05-11,0,0,"b.1.1",0,0
"11484",2020-05-11,0,0,"b.1.308",0,0.166666666666667
"11897",2020-05-11,0,0,"b.1.369",0,0
"12144",2020-05-11,0,0,"b.1.382",0,0.333333333333333
"7554",2020-05-12,0,0,"b",0,0
"8215",2020-05-12,1,1,"b.1",1,0.5
"8870",2020-05-12,0,0,"b.1.1",0,0
"11485",2020-05-12,0,0,"b.1.308",0,0.166666666666667
"11898",2020-05-12,0,0,"b.1.369",0,0
"12145",2020-05-12,0,0,"b.1.382",0,0.333333333333333
"7555",2020-05-13,0,0,"b",0,0
"8216",2020-05-13,1,1,"b.1",1,0.75
"8871",2020-05-13,0,0,"b.1.1",0,0
"11486",2020-05-13,0,0,"b.1.308",0,0.25
"11899",2020-05-13,0,0,"b.1.369",0,0
"12146",2020-05-13,0,0,"b.1.382",0,0
"7556",2020-05-14,0,0,"b",0,0
"8217",2020-05-14,1,1,"b.1",1,0.8
"8872",2020-05-14,0,0,"b.1.1",0,0
"11487",2020-05-14,0,0,"b.1.308",0,0.2
"11900",2020-05-14,0,0,"b.1.369",0,0
"12147",2020-05-14,0,0,"b.1.382",0,0
"7557",2020-05-15,0,0,"b",0,0
"8218",2020-05-15,0,0,"b.1",0,1
"8873",2020-05-15,0,0,"b.1.1",0,0
"11488",2020-05-15,0,0,"b.1.308",0,0
"11901",2020-05-15,0,0,"b.1.369",0,0
"12148",2020-05-15,0,0,"b.1.382",0,0
"7558",2020-05-16,0,0,"b",0,0
"8219",2020-05-16,0,0,"b.1",0,1
"8874",2020-05-16,0,0,"b.1.1",0,0
"11489",2020-05-16,0,0,"b.1.308",0,0
"11902",2020-05-16,0,0,"b.1.369",0,0
"12149",2020-05-16,0,0,"b.1.382",0,0
"7559",2020-05-17,0,0,"b",0,0
"8220",2020-05-17,1,1,"b.1",1,1
"8875",2020-05-17,0,0,"b.1.1",0,0
"11490",2020-05-17,0,0,"b.1.308",0,0
"11903",2020-05-17,0,0,"b.1.369",0,0
"12150",2020-05-17,0,0,"b.1.382",0,0
"7560",2020-05-18,0,0,"b",0,0
"8221",2020-05-18,1,1,"b.1",1,1
"8876",2020-05-18,0,0,"b.1.1",0,0
"11491",2020-05-18,0,0,"b.1.308",0,0
"11904",2020-05-18,0,0,"b.1.369",0,0
"12151",2020-05-18,0,0,"b.1.382",0,0
"7561",2020-05-19,0,0,"b",0,0
"8222",2020-05-19,0,0,"b.1",0,1
"8877",2020-05-19,0,0,"b.1.1",0,0
"11492",2020-05-19,0,0,"b.1.308",0,0
"11905",2020-05-19,0,0,"b.1.369",0,0
"12152",2020-05-19,0,0,"b.1.382",0,0
"7562",2020-05-20,0,0,"b",0,0
"8223",2020-05-20,1,1,"b.1",1,1
"8878",2020-05-20,0,0,"b.1.1",0,0
"11493",2020-05-20,0,0,"b.1.308",0,0
"11906",2020-05-20,0,0,"b.1.369",0,0
"12153",2020-05-20,0,0,"b.1.382",0,0
"7563",2020-05-21,0,0,"b",0,0
"8224",2020-05-21,0,0,"b.1",0,1
"8879",2020-05-21,0,0,"b.1.1",0,0
"11494",2020-05-21,0,0,"b.1.308",0,0
"11907",2020-05-21,0,0,"b.1.369",0,0
"12154",2020-05-21,0,0,"b.1.382",0,0
"7564",2020-05-22,0,0,"b",0,0
"8225",2020-05-22,0,0,"b.1",0,1
"8880",2020-05-22,0,0,"b.1.1",0,0
"11495",2020-05-22,0,0,"b.1.308",0,0
"11908",2020-05-22,0,0,"b.1.369",0,0
"12155",2020-05-22,0,0,"b.1.382",0,0
"7565",2020-05-23,0,0,"b",0,0
"8226",2020-05-23,0,0,"b.1",0,1
"8881",2020-05-23,0,0,"b.1.1",0,0
"11496",2020-05-23,0,0,"b.1.308",0,0
"11909",2020-05-23,0,0,"b.1.369",0,0
"12156",2020-05-23,0,0,"b.1.382",0,0
"7566",2020-05-24,0,0,"b",0,0
"8227",2020-05-24,0,0,"b.1",0,1
"8882",2020-05-24,0,0,"b.1.1",0,0
"11497",2020-05-24,0,0,"b.1.308",0,0
"11910",2020-05-24,0,0,"b.1.369",0,0
"12157",2020-05-24,0,0,"b.1.382",0,0
"7567",2020-05-25,0,0,"b",0,0
"8228",2020-05-25,0,0,"b.1",0,1
"8883",2020-05-25,0,0,"b.1.1",0,0
"11498",2020-05-25,0,0,"b.1.308",0,0
"11911",2020-05-25,0,0,"b.1.369",0,0
"12158",2020-05-25,0,0,"b.1.382",0,0
"7568",2020-05-26,0,0,"b",0,0
"8229",2020-05-26,0,0,"b.1",0,0.5
"8884",2020-05-26,0,0,"b.1.1",0,0
"11499",2020-05-26,1,1,"b.1.308",1,0.5
"11912",2020-05-26,0,0,"b.1.369",0,0
"12159",2020-05-26,0,0,"b.1.382",0,0
"7569",2020-05-27,0,0,"b",0,0
"8230",2020-05-27,0,0,"b.1",0,0
"8885",2020-05-27,0,0,"b.1.1",0,0
